Last Name,First Name,Gender,White?,Number of Books,Books,Overall Rating,Readings
Abercombie,Joe,Male,checked,1,The Blade Itself,1.0,2014-09-29
Addison,Katherine,Female,checked,1,The Goblin Emperor,2.0,2015-05-29
Anders,Charlie Jane,Female,checked,2,"All The Birds In the Sky,The City in the Middle of the Night",2.0,2016-07-12
Anderson,Dianna,Female,checked,1,Damaged Goods,1.0,
Anderson,Kevin,Male,checked,1,The Dark Between the Stars,1.0,"2015-02-24,2015-06-05"
Atwood,Margaret,Female,checked,1,The Handmaid's Tale,2.0,2014-11-18
Bacigalupi,Paolo,Male,checked,1,The Water Knife,2.0,2015-10-29
Banks,Ian,Male,checked,2,"Consider Phlebas,The Player of Games",1.0,"2016-08-24,2016-09-12"
Bear,Greg,Male,checked,2,"Darwin's Children,Darwin's Radio",NaN,2014-04-19
Beckett,Chris,Male,checked,1,Dark Eden,1.0,2014-06-30
Beukes,Lauren,Female,checked,1,Zoo City,3.0,2014-07-06
Brin,David,Male,checked,1,Startide Rising,2.0,2014-04-12
Buber,Martin,Male,checked,1,I And Thou,2.0,2014-09-23
Bujold,Lois McMaster,Female,checked,10,"Penric's Demon,The Warrior's Apprentice,The Curse of Chalion,Paladin of Souls,Gentleman Jole and the Red Queen,Penric and the Shaman,Penric’s Fox,Penric’s Mission,Mira’s Last Dance,The Prisoner of Limnos",2.0,"2016-06-08,2016-08-24,2016-10-10,2016-10-20"
Butcher,Jim,Male,checked,2,"Skin Game,The Aeronaut's Windlass",2.0,"2015-06-14,2016-05-08"
Butler,Octavia,Female,,4,"Dawn,Adulthood Rites,Imago,Parable of the Sower",2.3,"2014-01-12,2014-01-20,2014-05-30"
Cadre,Adam,Male,,1,"""Ready, OK!""",3.0,2015-12-03
Chambers,Becky,Female,checked,4,"""The Long Way to a Small, Angry Planet"",A Closed & Common Orbit,Record of a Spaceborn Few,""To Be Taught, If Fortunate""",2.0,"2016-10-27,2017-04-13"
Cheng,Patrick,Male,,1,Radical Love,2.0,2014-08-20
Cherryh,C. J.,Female,checked,22,"Regenesis,Foreigner,Invader,Inheritor,Precursor,Cyteen,Defender,Explorer,Destroyer,Pretender,Deliverer,Conspirator,Deceiver,Betrayer,Intruder,Protector,Peacemaker,Tracker,Visitor,Convergence,Emergence,Resurgence",NaN,2015-05-12
